COMMON.NAME,SCIENTIFIC.NAME,GROUP,ESA.STATUS,IUCN.STATUS,YEAR,BYCATCH,UNIT,CV,FOOTNOTE.S.,REGION,FISHERY.TYPE,FISHERY,TOTAL.FISHERY.BYCATCH,TOTAL.FISHERY.LANDINGS,TOTAL.CATCH,FISHERY.BYCATCH.RATIO,OBSERVER.COVERAGE,MMPA Category
Pacific herring,Clupea pallasii,fish,,not assessed,2013,26.12,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Large sculpins,Cottidae,fish,,,2013,210770.6,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Other sculpins,Cottidae,fish,,,2013,95056.73,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Miscellaneous crustaceans (unidentified),Crustacea,invertebrate,,,2013,248.01,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Miscellaneous crabs (unidentified),Decapoda,invertebrate,,,2013,268.99,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
"Urchins, dollars and/or cucumbers",Echinodermata,invertebrate,,,2013,7896.05,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sharks,Elasmobranchii,fish,,,2013,1419.53,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Walleye pollock - Aleutian Islands,Gadus chalcogrammus,fish,,not assessed,2013,117855.15,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Walleye pollock - Eastern Bering Sea,Gadus chalcogrammus,fish,,not assessed,2013,1499.25,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific cod,Gadus macrocephalus,fish,,not assessed,2013,8513.34,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Snails,Gastropoda,invertebrate,,,2013,721.21,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific halibut,Hippoglossus stenolepis,fish,,not assessed,2013,171038.91,POUND,NA,g,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Yellowfin sole - Bering Sea / Aleutian Islands,Limanda aspera,fish,,not assessed,2013,78.33,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Golden king crab,Lithodes aequispinus,invertebrate,,not assessed,2013,3409.32,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Grenadiers,Macrouridae,fish,,,2013,464267.55,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Lanternfishes,Myctophidae,fish,,,2013,70.67,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sea pens and whips,Octocorallia,invertebrate,,,2013,49.23,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Octopus,Octopoda,invertebrate,,,2013,3.44,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Chinook salmon,Oncorhynchus tshawytscha,fish,,not assessed,2013,0,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Brittle stars (unidentified),Ophiuroidea,invertebrate,,,2013,203.03,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Hermit crabs (unidentified),Paguroidea,invertebrate,,,2013,21.76,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pandalid shrimp,Pandalidae,invertebrate,,,2013,646.41,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Red king crab,Paralithodes camtschaticus,invertebrate,,not assessed,2013,63.69,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Atka mackerel - Bering Sea / Aleutian Islands,Pleurogrammus monopterygius,fish,,not assessed,2013,987973.67,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Flatfishes,Pleuronectiformes,fish,,,2013,493.21,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Sponges (unidentified),Porifera,invertebrate,,,2013,82109.44,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Skates,Rajidae,fish,,,2013,407673.96,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Greenland halibut - Bering Sea / Aleutian Islands,Reinhardtius hippoglossoides,fish,,not assessed,2013,96393.93,POUND,NA,b,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Arrowtooth flounder - Bering Sea / Aleutian Islands,Reinhardtius stomias,fish,,not assessed,2013,66510.09,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Non-chinook salmon,Salmonidae,fish,,,2013,3820.51,POUND,NA,a,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Scypho jellies,Scyphozoa,invertebrate,,,2013,126.22,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Rockfish,Sebastes,fish,,,2013,162803.66,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pacific ocean perch - Bering Sea / Aleutian Islands,Sebastes alutus,fish,,not assessed,2013,219693.22,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Shortraker rockfish,Sebastes borealis,fish,,not assessed,2013,3669.72,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Dark rockfish,Sebastes ciliatus,fish,,not assessed,2013,2910.43,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Northern rockfish - Bering Sea / Aleutian Islands,Sebastes polyspinis,fish,,not assessed,2013,229172.88,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Pricklebacks,Stichaeidae,fish,,,2013,14.53,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Miscellaneous deep fish (unidentified),Teleostei,fish,,,2013,6.96,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Miscellaneous fish (unidentified),Teleostei,fish,,,2013,108778.69,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Benthic urochordata,Urochordata,invertebrate,,,2013,1151.07,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Eelpouts,Zoarcidae,fish,,,2013,3376.21,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,,fish,,,2013,22061.19,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bering Sea / Aleutian Islands Flathead Sole Complex,,fish,,,2013,558.39,POUND,NA,d,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Bering Sea / Aleutian Islands Rock Sole Complex,,fish,,,2013,16180.07,POUND,NA,,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
"Bryozoans, hydroids and corals",,invertebrate,,,2013,13761.96,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Invertebrates (unidentified),,invertebrate,,,2013,32202.8,POUND,NA,c,AK,trawl,Aleutian Islands/Eastern Bering Sea Atka Mackerel Trawl,3596708.01,59356168.98,62952876.99,0.057133338,100% vessels >125 ft.; 30% vessels 60-124 ft.; 30% or 100% shore plants,III
Wahoo - Pacific,Acanthocybium solandri,fish,,LC,2011,75137.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Longnose lancetfish,Alepisaurus ferox,fish,,LC,2011,27439.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Bigeye thresher,Alopias superciliosus,fish,,VU,2011,19194.1,POUND,NA,a,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Thresher sharks (unidentified),Alopiidae,fish,,,2011,3324.1,POUND,NA,a,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Razorback scabbardfish,Assurger anzac,fish,,not assessed,2011,137.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Brama pomfrets (unidentified),Bramidae,fish,,,2011,359.2,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Rough triggerfish,Canthidermis maculata,fish,,LC,2011,35.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Silky shark,Carcharhinus falciformis,fish,,NT,2011,45280.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Galapagos shark,Carcharhinus galapagensis,fish,,NT,2011,4466.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Oceanic whitetip shark,Carcharhinus longimanus,fish,,VU,2011,8813,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Sharks (unidentified),Chondrichthyes,fish,,,2011,1497,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Dolphinfish - Pacific,Coryphaena hippurus,fish,,LC,2011,6455.5,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Driftfishes,Cubiceps,fish,,,2011,46.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Brilliant pomfret,Eumegistus illustris,fish,,not assessed,2011,292.4,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Unidentified snake mackerels,Gempylidae,fish,,,2011,47,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Snake mackerel,Gempylus serpens,fish,,LC,2011,5719,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Billfishes,Istiophoridae,fish,,,2011,6633.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Sailfish,Istiophorus platypterus,fish,,LC,2011,6188,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Makos,Isurus,fish,,,2011,426.8,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Shortfin mako,Isurus oxyrinchus,fish,,VU,2011,54799.8,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Longfin mako,Isurus paucus,fish,,VU,2011,2242.6,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Striped marlin - Central Western Pacific,Kajikia audax,fish,,NT,2011,13019.7,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Skipjack tuna - Central Western Pacific,Katsuwonus pelamis,fish,,LC,2011,159522.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Pelagic puffer,Lagocephalus lagocephalus,fish,,LC,2011,160.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Opah - Pacific,Lampris guttatus,fish,,LC,2011,16686.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Escolar,Lepidocybium flavobrunneum,fish,,LC,2011,97933.5,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Crestfish,Lophotus lacepede,fish,,LC,2011,2313.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Blue marlin - Pacific,Makaira nigricans,fish,,VU,2011,108810.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Manta,Manta birostris,fish,,VU,2011,968,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Sharptail mola,Masturus lanceolatus,fish,,LC,2011,1452,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Mantas and/or mobulas (unidentified),Mobula,fish,,,2011,858,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Manta and/or mobula (unidentified),Mobulidae,fish,,,2011,264,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Ocean sunfish,Mola mola,fish,,VU,2011,221.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Black gemfish,Nesiarchus nasutus,fish,,LC,2011,175.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Hammerjaw,Omosudis lowii,fish,,LC,2011,63.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Bony fishes (other),Osteichthyes,fish,,,2011,31.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Bony fishes (unidentified),Osteichthyes,fish,,,2011,42.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Blue shark - South Pacific,Prionace glauca,fish,,NT,2011,287159.7,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Roudi escolar,Promethichthys prometheus,fish,,LC,2011,18611.8,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Crocodile shark,Pseudocarcharias kamoharai,fish,,NT,2011,43.5,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Pelagic stingray,Pteroplatytrygon violacea,fish,,LC,2011,61221.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Rays (unidentified),Rajiformes,fish,,,2011,105.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Slender mola,Ranzania laevis,fish,,LC,2011,156838,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Oilfish,Ruvettus pretiosus,fish,,LC,2011,8439.3,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Tunas,Scombridae,fish,,,2011,26765.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Black mackerel,Scombrolabrax heterolepis,fish,,LC,2011,21822.7,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Great barracuda,Sphyraena barracuda,fish,,LC,2011,6683.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Scalloped hammerhead,Sphyrna lewini,fish,E,EN,2011,184.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Smooth hammerhead,Sphyrna zygaena,fish,,VU,2011,490.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Rough pomfret,Taractes asper,fish,,not assessed,2011,7.6,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Knifetail pomfret,Taractes rubescens,fish,,LC,2011,182.5,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Sickle pomfret,Taractichthys steindachneri,fish,,not assessed,2011,5882.9,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Unidentified puffers,Tetraodontidae,fish,,,2011,8.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Shortbill spearfish,Tetrapturus angustirostris,fish,,DD,2011,66935,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Albacore - South Pacific,Thunnus alalunga,fish,,NT,2011,73551.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Yellowfin tuna - Central Western Pacific,Thunnus albacares,fish,,NT,2011,56082.8,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Bigeye tuna - Pacific,Thunnus obesus,fish,,VU,2011,46546.6,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Tapertail ribbonfish,Trachipterus fukuzakii,fish,,not assessed,2011,563.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Swordfish,Xiphias gladius,fish,,LC,2011,2898.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2321040.8,7531687,9852727.8,0.235573422,,II
Wahoo - Pacific,Acanthocybium solandri,fish,,LC,2012,58136.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Longnose lancetfish,Alepisaurus ferox,fish,,LC,2012,32113.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Bigeye thresher,Alopias superciliosus,fish,,VU,2012,15333.8,POUND,NA,a,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Thresher sharks (unidentified),Alopiidae,fish,,,2012,3109.7,POUND,NA,a,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Razorback scabbardfish,Assurger anzac,fish,,not assessed,2012,635.3,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Brama pomfrets (unidentified),Bramidae,fish,,,2012,480.2,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Silky shark,Carcharhinus falciformis,fish,,NT,2012,35611.1,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Galapagos shark,Carcharhinus galapagensis,fish,,NT,2012,2140.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Oceanic whitetip shark,Carcharhinus longimanus,fish,,VU,2012,12995,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Sharks (unidentified),Chondrichthyes,fish,,,2012,1610.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Pompano dolphinfish,Coryphaena equiselis,fish,,LC,2012,1.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Dolphinfish - Pacific,Coryphaena hippurus,fish,,LC,2012,9262.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Driftfishes,Cubiceps,fish,,,2012,14.5,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Rainbow runner,Elagatis bipinnulata,fish,,LC,2012,57.2,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Brilliant pomfret,Eumegistus illustris,fish,,not assessed,2012,409.3,POUND,NA,b,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Snake mackerel,Gempylus serpens,fish,,LC,2012,23621,POUND,NA,c,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Billfishes,Istiophoridae,fish,,,2012,5049.4,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Sailfish,Istiophorus platypterus,fish,,LC,2012,3815.9,POUND,NA,,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Makos,Isurus,fish,,,2012,512.1,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Shortfin mako,Isurus oxyrinchus,fish,,VU,2012,44556.9,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
Longfin mako,Isurus paucus,fish,,VU,2012,2354.7,POUND,NA,d,PI,longline,American Samoa Pelagic Longline,2087288.9,9184468,11271756.9,0.185178665,,II
